114:18:18|77
114:22:47|81
114:29:18|81
114:33:31|105
114:37:06|99
114:43:38|120
114:48:26|88
114:53:40|110
115:00:04|100
115:05:51|105
115:21:47|106
115:26:57|102
115:32:36|95
115:39:16|107
115:51:09|98
115:56:30|109
116:01:20|99
116:10:43|119
116:14:54|120
116:20:37|139
116:29:46|100
116:35:38|109
116:40:20|89
116:45:51|94
116:50:44|88
116:56:21|99
117:04:36|92
117:09:37|96
117:14:14|89
117:22:26|99
117:30:10|113
117:33:59|105
117:38:24|103
117:43:26|110
117:48:30|99
117:57:06|119
118:15:00|90
118:23:24|135
118:27:58|106
118:33:48|113
118:38:38|103
118:44:08|105
118:48:49|104
118:55:21|85
119:01:55|129
119:06:23|91
119:12:13|98
119:16:09|80
119:21:01|73
119:25:37|107
119:30:47|103
119:35:32|107
119:41:26|99
119:51:12|109
119:59:32|108
120:08:03|80
120:13:23|90
120:19:42|94
120:24:22|92
120:28:53|99
120:33:28|90
120:41:17|109
120:45:35|99
120:49:53|109
120:54:28|100
120:59:16|109
121:05:32|109
121:10:44|87
121:19:37|109
121:26:12|93
137:50:02|82
137:54:57|80
138:00:48|93
138:12:17|101
138:17:44|99
138:22:45|91
138:26:57|72
138:38:03|105
138:42:49|96
138:47:24|101
138:51:21|73
138:57:37|102
139:01:07|76
139:07:23|74
139:12:44|79
139:16:43|61
139:20:30|66
139:25:12|65
139:31:22|90
139:36:33|68
139:47:28|65
139:53:50|78
139:58:11|93
140:02:46|99
140:06:44|90
140:12:53|94
140:17:37|95
140:23:40|126
140:28:39|97
140:34:55|105
140:38:37|97
140:49:58|120
140:53:21|89
140:58:55|72
141:03:04|90
141:10:57|101
141:14:30|97
141:18:32|71
141:23:18|63
141:27:53|68
141:33:00|63
141:38:07|108
141:42:55|101
141:48:06|99
141:52:18|80
141:58:50|109
142:01:10|88
142:07:52|104
142:12:54|66
142:19:18|80
142:23:30|71
142:36:35|129
142:41:21|122
142:44:53|97
142:50:56|107
142:57:23|104
143:02:08|105
143:09:03|79
143:14:05|82
143:19:48|80
143:24:51|73
143:30:33|70
143:36:04|90
143:40:17|82
143:44:24|88
143:52:39|94
143:56:09|87
144:02:30|109
144:07:39|77
144:12:25|79
144:19:48|120
144:22:52|87
144:28:51|95
144:34:41|98
144:40:02|83
144:46:48|100
144:56:30|101
145:00:42|91
145:08:09|115
145:11:59|102
145:15:17|98
145:20:12|96
160:48:42|67
160:52:42|80
160:59:02|90
161:06:06|90
161:13:14|100
161:17:26|104
161:21:03|96
161:25:16|102
161:33:48|81
161:39:16|76
161:44:00|79
161:49:12|75
161:55:15|78
162:00:12|75
162:18:23|100
162:29:37|96
162:34:16|83
162:38:11|81
162:43:32|103
162:47:39|90
162:53:14|105
162:57:03|86
163:02:19|91
163:05:56|83
163:13:21|101
163:17:08|74
163:27:44|98
163:34:03|104
163:40:40|69
163:45:22|69
163:51:57|74
163:55:04|69
164:01:02|109
164:05:59|106
164:12:09|85
164:15:35|90
164:27:01|122
164:34:13|100
164:45:39|86
164:52:48|99
165:06:46|68
165:20:21|65
165:30:27|94
165:34:52|86
165:39:35|89
165:44:31|80
165:52:45|104
166:01:47|81
166:06:13|77
166:14:58|98
166:20:06|79
166:28:54|61
166:33:55|68
166:37:34|66
166:50:37|109
166:55:01|100
167:00:49|109
167:04:45|109
167:09:55|96
167:13:52|100
167:23:17|101
167:32:37|82
167:41:52|99
167:46:16|91
167:48:22|92
167:54:30|115
167:57:50|101
168:03:29|129
168:09:09|111
