Bibcode|Year|Title|Authors|Publication|Volume|Issue|Page|Abstract|DOI|Samples
|2011|Complex magmatic and impact history prior to 4.1 Ga recorded in zircon from Apollo 17 South Massif aphanitic breccia 73235|Grange, M. L., Nemchin, A. A., Timms, N., Pidgeon, R. T., and Meyer, C.|Geochimica et Cosmochimica Acta|75||2213-2232 |||73235|
|2011|First lunar occurrence of Keivite-(Y) in troctolitic anorthosite 76335 (abs#2767)|Carpenter, P. K., Edmunsen, J., Cohen, B. A., Zeigler, R. A., and Jolliff, B. L.|Proceedings of the 42nd Lunar and Planetary Science Conference, ||||||76335|
2011AGUFM.P13D1696F|2011|Lunar paleomagnetism: a new analysis of the Apollo-era paleomagnetic measurements|Fuller, M., Weiss, B. P.|AGU Fall Meeting Abstracts|||P13D|||70215; 72215; 77017; 77135|
2011LPI....42.1641K|2011|Ti Distribution in Grain-Size Fractions of Apollo Soils 10084 and 71501|Kong, W. G., Jolliff, B. L., Wang, A.|Lunar and Planetary Science Conference|42|1608|1641|||71501|
2011Icar..211..101L|2011|Mineralogy and geochemistry of four lunar soils by laser-Raman study|Ling, Z. C., Wang, Alian, Jolliff, Bradley L.|Icarus|211|1|101||http://dx.doi.org/10.1016/j.icarus.2010.08.020|71501|
2011LPI....42.1413G|2011|Continued Study of Highly Siderophile Element Characteristics of Apollo 17 Impact Melt Breccias|Galenas, M. G., Gerasimenko, I., James, O. B., Puchtel, I. S., Walker, R. J.|Lunar and Planetary Science Conference|42|1608|1413|||72435; 72535; 73235|
2011GeCoA..75.1161V|2011|Compressibility of molten Apollo 17 orange glass and implications for density crossovers in the lunar mantle|van Kan Parker, Mirjam, Agee, Carl B., Duncan, Megan S., van Westrenen, Wim|Geochimica et Cosmochimica Acta|75|4|1161||http://dx.doi.org/10.1016/j.gca.2010.11.022|74220|
2011AGUFMMR21A2109V|2011|A comparison of melt densities for several Apollo volcanic glass compositions up to 11 GPa: Implications for the role of Ti in melt compressibility|Vander Kaaden, K. E., Agee, C. B., McCubbin, F. M.|AGU Fall Meeting Abstracts|||MR21A|||74220|
2011LPI....42.2570O|2011|Investigating the Lunar Magma Ocean Hypothesis with Anorthosite 15415 and Troctolite 76535|O'Sullivan, K. M., Neal, C. R., Simonetti, A.|Lunar and Planetary Science Conference|42|1608|2570|||76535|
2011AGUFMGP11B..04S|2011|Paleomagnetic record of mare basalt 10017: A lunar core dynamo at 3.6 Ga?|Suavet, C., Weiss, B. P., Fuller, M., Gattacceca, J., Grove, T. L., Shuster, D. L.|AGU Fall Meeting Abstracts|||GP11B|||76535|
