2017PhDT.......143M|2017|High Spatial Resolution 40Ar/39Ar Geochronology of Lunar Impact Melt Rocks|Mercer, Cameron Mark|Ph.D. Thesis||||Impact cratering has played a key role in the evolution of the solid surfaces of Solar System bodies. While much of Earth’s impact record has been erased, its Moon preserves an extensive history of bombardment. Quantifying the timing of lunar impact events is crucial to understanding how impacts have shaped the evolution of early Earth, and provides the basis for estimating the ages of other cratered surfaces in the Solar System. Many lunar impact melt rocks are complex mixtures of glassy and crystalline “melt” materials and inherited clasts of pre-impact minerals and rocks. If analyzed in bulk, these samples can yield complicated incremental release 40Ar/39Ar spectra, making it challenging to uniquely interpret impact ages. Here, I have used a combination of high-spatial resolution 40Ar/39Ar geochronology and thermal-kinetic modeling to gain new insights into the impact histories recorded by such lunar samples. To compare my data to those of previous studies, I developed a software tool to account for differences in the decay, isotopic, and monitor age parameters used for different published 40Ar/39Ar datasets. Using an ultraviolet laser ablation microprobe (UVLAMP) system I selectively dated melt and clast components of impact melt rocks collected during the Apollo 16 and 17 missions. UVLAMP 40Ar/39Ar data for samples 77135, 60315, 61015, and 63355 show evidence of open-system behavior, and provide new insights into how to interpret some complexities of published incremental heating 40Ar/39Ar spectra. Samples 77115, 63525, 63549, and 65015 have relatively simple thermal histories, and UVLAMP 40Ar/39Ar data for the melt components of these rocks indicate the timing of impact events—spanning hundreds of millions of years—that influenced the Apollo 16 and 17 sites. My modeling and UVLAMP 40Ar/39Ar data for sample 73217 indicate that some impact melt rocks can quantitatively retain evidence for multiple melt-producing impact events, and imply that such polygenetic rocks should be regarded as high-value sampling opportunities during future exploration missions to cratered planetary surfaces. Collectively, my results complement previous incremental heating 40Ar/39Ar studies, and support interpretations that the Moon experienced a prolonged period of heavy bombardment early in its history.
2014LPI....45.2669M|2014|Diverse Impact Histories of Apollo 17 Melt Breccias Revealed by In Situ 40Ar/39Ar Geochronology|Mercer, C. M., Young, K. E., Weirich, J. R., Hodges, K. V., Jolliff, B. L., Wartho, J. A., van Soest, M. C.|Lunar and Planetary Science Conference|45|1777|2669|Laser microprobe 40Ar/39Ar geochronology reveals that the Apollo 17 melt breccias 77115 and 73217 record diverse and extensive impact histories.
1994Metic..29..707K|1994|Silica-Merrihueite/Roedderite-Bearing Chondrules and Clasts in Ordinary Chondrites: New Occurrences and Possible Origin|Krot, A., Wasson, J.|Meteoritics|29||707|Merrihueite (K,Na)2(Fe,Mg)5Si12O30 (na less than 0.5, fe greater than 0.5, where na = Na/(Na + K), fe = Fe/(Fe + Mg) in atomic ratio) is a rare mineral described only in several chondrules and irregularly-shaped fragments in the Mezo-Madaras L3 chondrite (Dodd et al., 1965; Wood and Holmberg, 1994). Roedderite (Na,K)2(Mg,Fe)5Si12O30 (na greater than 0.5, fe less than 0.5) has been found only in enstatite chondrites and in the reduced, subchondritic silicate inclusions in IAB irons (Fuchs, 1966; Rambaldi et al., 1984; Olsen, 1967). We described silica-roedderite-bearing clasts in L/LL3.5 ALHA77011 and LL3.7 ALHA77278, a silica-roedderite-bearing chondrule in L3 Mezo-Madaras, and a silica-merrihueite-bearing chondrule in L/LL3.5 ALHA77115. The findings of merrihueite and roedderite in ALHA77011, ALHA77115, ALHA77278 and Mezo-Madaras fill the compositional gap betweeen previously described roedderite in enstatite chondrites and silicate inclusions in IAB irons and merrihueite in Mezo-Madaras, suggesting that there is a complete solid solution of roedderite and merrihueite in meteorites. We infer that the silica- and merrihueite/roedderite-bearing chondrules and clasts experienced a complex formational history including: (a) fractional condensation in the solar nebular that produced Si-rich and Al-poor precursors, (b) melting of fractionated nebular solids resulting in the formation of silica-pyroxene chondrules, (c) in some cases, fragmentation in the nebula or on a parent body, (d) reaction of silica with alkali-rich gas that formed merrihueite/roedderite on a parent body, (e) formation of fayalitic olivine and feerosilite-rich pyroxene due to reaction of silica with oxidized Fe on a parent body, and (f) minor thermal metamorphism, possibly generated by impacts.
1992ga17.confQ..61W|1992|Troctolitic Anorthosite from 77115: A Magnesian Member of the Alkalic Suite|Warren, P. H., Kallemeyn, G. W.|Geology of the Apollo 17 Landing Site|||61|Alkalic suite pristine nonmare rocks are distinctly enriched in plagiophile elements such as Na and K, as well as generally incompatible elements, despite modes and textures more characteristic of typical crustal cumulates (most commonly anorthosites) than of the basaltic KREEP rocks that appear to account for the bulk of the lunar crust's total complement of incompatible elements. Our studies indicate that the 77115 troctolitic clasts of Winzer et al. is actually a troctolitic anorthosite (or anorthositic troctolite), probably best classified as a member of the alkalic suite. We managed to obtain a thin section with pyroxene and olivine, and analyzed a 13.4-mg chip by instrumental neutron activation analysis (INAA). The results of this analysis are briefly discussed.
1980luhc.conf..233T|1980|An experimental study of the thermal history of fragment-laden "basalt" 77115.|Thornber, C. R., Huebner, J. S.|Lunar Highlands Crust|||233|Phase equilibrium and dynamic crystallization experiments using a synthetic analog of the 77115 matrix composition restrict interpretations of the thermal history of the lunar sample. Rapid early cooling (10-25 G/hr) of melt containing a large number of a nuclei and slow late stage cooling (less than 7 C/hr) are required to crystallize the textures and mineralogy of the 77115 matrix. This result is in agreement with that predicated by the nature and extent of diffusive cation exchange between various xenocrysts phases and the 77115 matrix.
1980luhc.conf.....M|1980|Conference on the Lunar Highlands Crust, Houston, Tex., November 14-16, 1979, Proceedings|Merrill, R. B., Papike, J. J.|Lunar Highlands Crust||||The conference covered mission objectives for geological exploration of the Apollo 16 landing site, classification and nomenclature of lunar highland rocks, origins of pristine crustal rocks, samples for the earliest lunar crust, the cordierite to spinel transition in the formation of the crust, and dropping stones in magma oceans. Topics also included orientations of central peaks in lunar craters, an experimental study of the thermal history of fragment-laden 'basalt' 77115, and volcanic rocks in lunar highlands.
1979LPICo.394.....R|1979|[Abstracts of] Papers Presented to the Conference on The Lunar Highlands Crust|Robertson, P. C., Merrill, R. B., Papike, J. J.|The Lunar Highlands Crust|394|||The conference covered mission objectives for geological exploration of the Apollo 16 landing site, classification and nomenclature of lunar highland rocks, origins of pristine crustal rocks, samples for the earliest lunar crust, the cordierite to spinel transition in the formation of the crust, and dropping stones in magma oceans. Topics also included orientations of central peaks in lunar craters, an experimental study of the thermal history of fragment-laden 'basalt' 77115, and volcanic rocks in lunar highlands.
1978LPSC....9..877M|1978|The Apollo 17 Station 7 boulder: Summary of study by the International Consortium.|Minkin, J. A., Thompson, C. L., Chao, E. C. T.|Lunar and Planetary Science Conference Proceedings|1||877|A systematic interdisciplinary study of the Apollo 17 station 7 boulder, from the foot of the North Massif at Taurus-Littrow, is described. The astronauts observed four lithologies: a large white clast represented by 77215, cut by dark dikelets (77075) and enclosed in blue-gray breccia (77115); the assemblage of these three rock types is in turn surrounded by green-gray breccia (77135). The history of the station 7 boulder, as construed from the results of the consortium study, is presented.
1977LPSC....8.2301N|1977|The history of the Apollo 17 Station 7 boulder.|Nakamura, N., Tatsumoto, M.|Lunar and Planetary Science Conference Proceedings|2||2301|Rb-Sr and Sm-Nd methods were used to determine the age of the dark dikelets 77075 cutting the 4.36 b.y. noritic breccia 77215 of the Station 7 boulder of Apollo 17. A regression line corresponding to an age of 4.07 plus or minus 0.09 b.y. is obtained with an Rb-87 decay constant of 1.41 x 10 to the -11th/yr and an initial Sr-87/Sr-86 ratio of approximately 0.69918. It is noted that the intrusion age of the dikelets provides the most reliable criterion for determining the age of the entire boulder, i.e., the boulder is not an extension of 77115, which formed more recently. Attention is given to a generalized lunar history during the first 600 m.y.
1975LPSC....6..493C|1975|The petrogenesis of 77115 and its xenocrysts: description and preliminary interpretation.|Chao, E. C. T., Minkin, J. A., Thompson, C. L., Huebner, J. S.|Lunar and Planetary Science Conference Proceedings|1||493|77115, a fragment-laden feldspathic pigeonite basalt, is one of four hand specimen-size samples collected from a boulder about 2.5 m across at Station 7, Taurus-Littrow. 77115 crystallized rapidly from a melt at or near the lunar surface and contains a population of xenoliths and xenocrysts which must have come from two or more separate sources. Broad reaction rims present in many of the xenocrysts suggest that cooling of the melt may have been very slow initially and rapid in the latter stage to produce the very fine-grained matrix. If the requirement for two cooling rates can be established, this will favor an endogenous igneous origin rather than an impact origin for the melt. Another interpretation is that the matrix crystallized first, followed by subsolidus reaction between xenocrysts and matrix to form the rims. The Apollo 17 feldspathic pigeonite basalts are postulated to be the dominant rock types of the early lunar crust.
