
|||Tape 1/1|Page 9
||PREFLIFT-OFF COMMUNICATIONS

|||Tape 2/1|Page 10
00 00 00 03|CDR|Roger. The clock has started. We have yaw.
00 00 00 12|CDR|Roger; tower. Yaw's complete. We're into roll, Bob.
00 00 00 17|CC|Roger, Geno. Looking great. Thrust good on all five engines.
|CDR|Okay, babe. It's looking good here.
00 00 00 21|CDR|Roll is complete. We are pitching.
|SC|Wow woozle1
|LMP|Thirty seconds. We're going up. Man, oh, man I
00 00 00 36|CDR|Thirty seconds, and 17 is GO.
00 00 00 38|CC|Roger, 17. You're GO.
|CC|17, stand by for Mode I Bravo -
00 00 01 01|CC|MARK. Mode I Bravo.
00 00 01 04|CDR|Roger. I Bravo; we're GO at 1 minute.
|CC|Roger, Gene. You're looking great. Right on the line.
00 00 01 11|CC|17, you are feet wet - feet wet.
00 00 01 13|CDR|Roger. Feet wet.
00 00 01 34|CDR|01:30, and we are GO, Bob.
|CC|Roger, Gene. You're looking great.
|CC|Stand by for Mode I Charlie, 17.
00 00 01 59|CC|Mark. Mode I Charlie.
00 00 02 00|CDR|Roger. I Charlie; 2 minutes and EDS is OFF and we are GO.

|||Tape 2/2|Page 11
00 00 02 06|CC|Roger, 17; you're GO. 17, you are GO for staging.
|CDR|Roger. We're GO here.
00 00 02 22|CDR|Inboard cut-off.
00 00 02 23|CC|Roger. Inboard.
00 00 02 49|CDR|Okay, Bob. I guess we got all five.
|CC|Roger. They're looking here - looking good.
|LMP|Sure felt like it. I think we saw them all from here.
|CC|Roger, Jack. And the thrust is GO on all five of them. They're running good.
00 00 03 02|CDR|Okay; 3 minutes and we're GO.
|CC|Roger, 17.
00 00 03 15|SC|Say, we just had skirt sep.
00 00 03 18|CC|Roger. We confirm skirt sep.
00 00 03 21|CDR|There goes the tower. Oh, there she goes!
00 00 03 24|CC|Roger. The tower; you're Mode II.
00 00 03 26|CDR|Roger. Mode II.
00 00 03 37|CC|The steering has converged. The CMC is GO. You're going right down the pike, 17.
00 00 03 39|CDR|Okay, Bob. I just confirmed guidance. Okay, Bob, I got the ELS SEP circuit breakers. And we've seen it all: ignition, staging, and tower.
|CC|Roger. Got you.
00 00 04 03|CDR|Okay; 4 minutes and we're GO here, Bob.
00 00 04 06|CC|Roger, Gene. We're going round the room. Looks GO here. You're looking real good, Gene. Right down the line.

|||Tape 2/3|Page 12
00 00 04 29|CDR|Okay; 04:30 and we're still GO on board.
|CC|Roger, 17. You're GO.
|CDR|Let me tell you, this night launch is something to behold.
00 00 05 04|CC|Five minutes, Geno, and you're GO down here. You're looking great.
|CDR|Okay, Robert. We're GO here at 5.
00 00 05 26|CC|17, Houston. Your times are nominal. Level sense arm at 8 plus 36; S-II shutdown at 9 plus 20. Nominal times.
|CDR|8 plus 36 and 9 plus 20. Roger.
|CC|Stand by for S-IVB to COI capability.
00 00 06 00|CC|MARK. S-IVB to COI capability.
00 00 06 02|CDR|Roger. S-IVB to COI. We're GO at 6.
|CC|Roger, Geno.
00 00 06 22|CDR|Okay, Bob. We're got four good motors and we're GO at 06:20.
|CC|Roger. And, 17, we copied the gimbals and watched them and they looked good.
|CC|Stand by for S-IVB to orbit capability.
00 00 06 51|CC|MARK. S-IVB to orbit capability. And we'd like OMNI Delta, Jack.
00 00 06 58|LMP|Roger. You've got it.
|CC|Roger.
00 00 07 08|CDR|Seven minutes, Bob. We're looking good on board.
|CC|Roger.
00 00 07 41|CDR|We have inboard cut-off.

|||Tape 2/4|Page 13
|CC|Roger, Gene. Inboard on time.
00 00 08 03|CDR|Eight minutes, and we are GO.
|CC|Roger, 17. You're looking great.
00 00 08 22|CC|17, Houston. You are GO for staging.
00 00 08 28|CDR|Thank you, Bob. We are GO for staging up here.
00 00 08 42|CC|You have level sense arm this time, Gene.
|SC|Roger, Bob. Level sense arm.
00 00 09. 02|CDR|Nine minutes, Bob, and 17 is GO.
00 00 09 07|CC|Roger, 17. You're GO here.
00 00 09 18|CC|Stand by for Mode IV capability.
00 00 09 22|CDR|S-II cut-off.
00 00 09 23|CC|MARK. Mode IV capability, and we copy cut-off.
00 00 09 25|CDR|Roger. Mode IV. And we do have S-IVB ignition.
00 00 09 30|CC|Roger. We see it, and the thrust is looking good on it.
|CDR|We saw that one, too, Bob.
|CC|Roger.
00 00 09 57|CC|17, the steering has converged and the CMC is GO. You're looking great.
|CDR|Roger. The CMC is GO, 10 minutes, and 17 is GO on board.
00 00 10 08|CC|17; Houston. You are GO for orbit - GO for orbit.
00 00 10 11|CDR|Those are kind words, Robert. We're GO for orbit here.
|CC|Good show, Gene.

|||Tape 2/5|Page 14
00 00 10 33|CDR|Okay. 10:30, we're GO.
|CC|Roger, 17. You look great.
00 00 11 05|CDR|Eleven minutes and we are GO.
00 00 11 08|CC|Roger, Gene. And cut-off will be at 11 plus 47, 11 plus 47.
|CDR|11 plus 47. Roger.
00 00 11 32|CDR|Okay. 11:30 and we're GO here. And - Standing by.
|CC|Roger, Gene. Cut-off time is still holding good, 11 plus 47.
00 00 11 42|CDR|Okay. Cut-off at 42.
|CC|Understand. Cut-off at 42. Roger. We copy.
00 00 12 03|CDR|We're looking at 93.1 by 89.5.
|CC|Roger, Gene. We're copying the DSKY,
|SC|Okay, Jack. Give - -
00 00 12 24|CC|And the local horizontal maneuver has initiated, Gene.
00 00 12 50|CDR|And, Houston, the - looks like the - tank pressures are venting.
00 00 12 57|CC|Roger, Gene. The range safety is safe and we -you are in a GO orbit, nominal.
|CDR|Roger. GO orbit, nominal. Thank you.
|CC|And, 17, I'll be unable to update that AOS time, but 52:20 is looking good.
|CDR|Roger.
00 00 14 10|LMP|Houston, can you confirm - MAIN BUS TIE A/C, OFF?
|CC|Stand by on that, Jack.

|||Tape 2/6|Page 15
00 00 14 18|LMP|I've been carrying very low amps on the BAT BUS, and I did not see a drop. I'm carrying about 2 amps now. Volts are 3 - 30.5.
|CC|Jack, go ahead and take the B/C motor switch OFF.
