2018AGUFM.P13B..03N|2018|A New View of Apollo 17 Basaltic Samples|Neal, C. R.|AGU Fall Meeting Abstracts|2018||P13B-03|The Apollo 17 high-Ti basalts were originally classified into types on the basis of whole rock data. Initial types were A, B, C, and U. Type U represented unclassified basalts or those of uncertain affiliation. Four different types of volcanic glass have been described from the Apollo 17 sample collection based on color and composition: VLT, Green, Yellow, and Orange. There are three subdivisions of the orange glasses, based upon major elements. <P />An elemental database of analyses from the Apollo 17 basaltic samples (i.e., both glasses and crystalline basalts) has been compiled in an attempt to re-examine the origins of the crystalline basalts and glasses. This study also highlights those samples where more data are required to properly classify them. The database was used to create results for elements that are common to both basalts and glasses. The "Unclassified" Type U samples were examined on several plots (e.g., La vs. La/Sm, Fig. 1) and assigned to Types A, B1, B2, C, and D depending on their affinities. Where multiple analyses were reported for these samples, averages were taken and data were only omitted if the analysis was clearly different from the others that have been reported. Remarkably, only 4 samples (70035, 74235, 75035, 78579) did not plot consistently with the designated groups from Figure 1 and require more sophisticated analyses (larger sample mas needs to be homogenized). <P />The data show the following: <P />- Type B1 and B2 high-Ti basalts are distinct; <P />- Two new Type D basalts are defined (71597 and 78508 in addition to 79001); <P />- Type A, B1 and C basalts fall on the same trends, as do Types B2 and D; <P />- Orange glass groups are distinct from high-Ti mare basalts; <P />- VLT glasses are similar in composition to the average VLT basalt compositions. <P />Ratios of REE and HFSE elements demonstrate that these basaltic materials are derived from distinct sources. This can also be extended to the transition elements, but these can also be used to demonstrate that the crystalline basalt and glass groups are highly fractionated. The data from the Apollo 17 basaltic samples has allowed us to demonstrate mantle heterogeneity beneath Taurus Littrow. However, the magmas produced from these sources underwent similar evolutionary pathways.|
1984LPI....15..625P|1984|The Evolution of the Lunar Magma Ocean: Evidence from Trace Elements in Plagioclase|Palme, H., Spettel, B., Wanke, H., Bischoff, A., Stoffler, D.|Lunar and Planetary Science Conference|||625|ABSTRACT_PLACEHOLDER|
1984LPI....15..605N|1984|The Abundance of Molybdenum in Lunar Samples, New Evidence for a Lunar Metal Core|Newsom, H. E.|Lunar and Planetary Science Conference|||605|ABSTRACT_PLACEHOLDER|
1979LPSC...10..517D|1979|The solubility of sulfur in high-TiO<SUB>2</SUB> mare basalts.|Danckwerth, P. A., Hess, P. C., Rutherford, M. J.|Lunar and Planetary Science Conference Proceedings|1||517|The present paper deals with an experimental investigation of the solubility of sulfur of the high-TiO2 mare basalt 74275 at 1 atm, 1250 C. The data indicate that at saturation, 74275 is capable of dissolving 3400 ppm suflur at 10 to 15 degrees below its liquidus. The analyzed samples of 74275 show sulfur contents of 1650 ppm S, which indicates that 74275 was 50% undersaturated at the time of eruption.|
1979LPSC...10.2547S|1979|Shock metamorphism of granulated lunar basalts.|Schaal, R. B., Hörz, F., Thompson, T. D., Bauer, J. F.|Lunar and Planetary Science Conference Proceedings|3||2547|The paper deals with an extensive series of shock-recovery experiments performed on both nonporous crystalline basalt and its granulated and sieved counterpart to study the role of porosity and grain size in shock motomorphic effects under otherwise identical conditions. Shocked samples are compared with unshocked starting material in terms of textural and mineralogical modifications attributable to shock. A comparative petrographic and chemical characterization is presented of pulverized and sieved lunar basalt 75035 shocked between 6 and 75 GPa in comparison with holocrystalline disks of the same basalts shocked in 10 earlier experiments. Specifically, a petrographic classification of shock features is given, along with an estimation of relative amounts of shock glasses and a chemical characterization of shock glasses in each shocked granular basalt.|
1979LPSC...10..259T|1979|Lead isotope systematics of three Apollo 17 mare basalts.|Tilton, G. R., Chen, J. H.|Lunar and Planetary Science Conference Proceedings|1||259|The paper deals with new and more accurate determinations of uranium, thorium, and isotopic lead data for five bulk samples and separate pyroxene, ilmenite, and plagioclase from basalt 71055. In a concordia diagram, the samples suggest a postcrystallization disturbance of the U-Pb systems of the rock. There is no compelling reason, from U-Pb data, to believe that the moon is younger than 4.55 AE.|
1979LPSC...10..327M|1979|74001 drive tube: siderophile elements match II B iron meteorite pattern.|Morgan, J. W., Wandless, G. A.|Lunar and Planetary Science Conference Proceedings|1||327|Eight siderophile elements, seven volatile elements, and U were determined in three samples from 74001 by radiochemical neutron activation analysis. The siderophile pattern closely corresponds to the addition of approximately 0.1% of II B iron meteorites, and the enrichment of nonsiderophile volatile elements seems to be derived from lunar sources with variation generally following Se content. In addition, in 74001 (predominantly black glass), moderately volatile elements (Ag, Zn) are more abundant than In, Cd, and particularly Bi, while in 74220 (mainly orange glass), Ag, Zn, In, and Cd are almost equally abundant, but Bi is as low as in 74001.|
1978NucIM.147..205K|1978|Lunar and Meteoritic Mineral Track Detectors and the Composition of the Galactic Cosmic Radiation|Kratschmer, W.|Nuclear Instruments and Methods|147||205|ABSTRACT_PLACEHOLDER|
1978LPSC....9.2451D|1978|Carbon, nitrogen and sulfur in Apollo 15, 16 and 17 rocks.|Des Marais, D. J.|Lunar and Planetary Science Conference Proceedings|2||2451|Carbon, nitrogen and sulfur contents, as well as carbon isotopic compositions, were determined for seven lunar rocks from the Apollo 15, 16 and 17 missions. Sequential combustion at three temperatures was used to resolve terrestrial contamination from indigenous lunar volatiles. Nitrogen abundances averaged 0.4 micrograms/gram in the samples. The results of the sequential combustion analysis suggested that all the samples contained variable amounts of terrestrial carbon contamination prior to examination. Indigenous lunar carbon abundances ranging from 2.5 to 6 micrograms/gram were found. Thus the moon appears to be substantially depleted in nitrogen and carbon relative to the earth and C and H meteorites.|
1978LPSC....9.2049C|1978|Studies of volatiles in Apollo 17 samples and their implication to vapor transport processes.|Cirlin, E. H., Housley, R. M., Grant, R. W.|Lunar and Planetary Science Conference Proceedings|2||2049|Flameless atomic absorption (FLAA), X-ray photoemission spectroscopy (XPS) and grain size separation techniques were adopted to analyze Pb, Cd, Zn and S in orange and black droplets from Apollo 17 samples. The FLAA and XPS investigations show volatile trace metal enrichment in smaller grain fractions (broken droplets); thus a part of the volatiles was probably deposited after break-up of the droplets. In addition, redistribution of the volatiles by a cratering event is indicated by continuous decreases in Pb and Cd with core depth. Studies of Zn on individual regolith grains are also reported.|
