2020EGUGA..22.1169C|2020|Lunar Phosphates Record Impact Cratering Events at Micro to Nano Scales|Cernok, Ana, White, Lee, Tait, Kimberly, Anand, Mahesh, Kamo, Sandra, Whitehouse, Martin, Darling, James|EGU General Assembly Conference Abstracts|||1169|The field of planetary mineralogy has greatly benefited from recent studies of accessory minerals that utilise µm- and nm-scale analytical techniques such as EBSD, APT, TEM and SIMS. Apatite and merrillite have been of particular interest, as they record vital information on the volatile content, U-Pb ages and trace-element composition of various planetary materials. However, the extent to which shock-deformation, pervasive among all planetary materials, affects the distribution of these valuable geochemical tracers is still poorly understood. Here we focus on exploring the U-Pb and Pb-Pb ages of apatite and merrillite in a set of variably shocked lunar rocks, building on previous nanostructural analyses of the phosphates.We carried out U-Pb and Pb-Pb analyses of phosphates in Apollo 17 samples of the Mg-suite rocks (76535, 76335, 76255, 72255, 78235 and 78236) using the CAMECA 1280 ion microprobe at the NordSIMS facility (Stockholm). In addition, we applied a recently developed approach of conducting high-precision U-Pb and Pb-Pb analyses by ID-TIMS of extracted phosphate grains (Jack Satterly Lab, University of Toronto). For this purpose, individual ~50x50x30 µm crystals of apatite and merrillite were extracted directly from thin sections using a Xe+ plasma FIB.As determined by SIMS, 207Pb/206Pb systematics of the unshocked or weakly shocked apatite in 76535 and 76335 is undisturbed, implying cooling of the rock below the closure temperature of Pb diffusion in apatite (~450°C) at ~4.2 Ga, ~100 Ma younger than what is interpreted as the rock's crystallization age. Phosphates that experienced similar levels of deformation but were in proximity or in direct contact with the impact melt in samples 76255 and 72255 show almost complete age resetting (~3.92 Ga). The SIMS determined age of 16 phosphates in sample 76255 is 3922.2 ± 6.7 Ma (2σ) and agrees with the previously published 207Pb/206Pb phosphate ages of impact melt breccias found within the same boulder and was interpreted as the timing of the Imbrium impact. These recrystallized phosphates yield comparable TIMS Pb-Pb ages (3917.8 ± 1.8 Ma and 3921.0 ± 1.3 Ma, 2σ) with significantly lower internal uncertainties than that of the individual SIMS measurements and may represent multiple impact-events close to the Imbrium event.SIMS U-Pb analyses of highly shocked phosphates (78235 and 78236) reveal a discordia line with an upper intercept of ~4.2 Ga and a lower intercept of ~0.5 Ga. We interpret this new, younger age as a minor thermal event that reactivated existing shock-induced nm-scale grain boundaries, as visualised by APT, within the apatite population to allow for Pb-loss at ~0.5 Ga. We propose a small crater located near the Apollo 17 landing site as a possible source of this sample.By correlating micro- to nanostructural characterization with in-situ age systematics we show that apatite and merrillite are powerful thermochronometers that provide a new approach to dating which has the potential to discriminate between temporally similar events. This can greatly aid in unravelling the bombardment record of solar system and be helpful when dealing with samples of limited availability (e.g. space return missions).|
2019M&PS...54.1262C|2019|Shock-induced microtextures in lunar apatite and merrillite|Černok, Ana, White, Lee Francis, Darling, James, Dunlop, Joseph, Anand, Mahesh|Meteoritics and Planetary Science|54|6|1262|Apatite and merrillite are the most common phosphate minerals in a wide range of planetary materials and are key accessory phases for in situ age dating, as well as for determination of the volatile abundances and their isotopic composition. Although most lunar and meteoritic samples show at least some evidence of impact metamorphism, relatively little is known about how these two phosphates respond to shock-loading. In this work, we analyzed a set of well-studied lunar highlands samples (Apollo 17 Mg-suite rocks 76535, 76335, 72255, 78235, and 78236), in order of displaying increasing shock deformation stages from S1 to S6. We determined the stage of shock deformation of the rock based on existing plagioclase shock-pressure barometry using optical microscopy, Raman spectroscopy, and SEM-based panchromatic cathodoluminescence (CL) imaging of plagioclase. We then inspected the microtexture of apatite and merrillite through an integrated study of Raman spectroscopy, SEM-CL imaging, and electron backscatter diffraction (EBSD). EBSD analyses revealed that microtextures in apatite and merrillite become progressively more complex and deformed with increasing levels of shock-loading. An early shock-stage fragmentation at S1 and S2 is followed by subgrain formation from S2 onward, showing consistent decrease in subgrain size with increasing level of deformation (up to S5) and finally granularization of grains caused by recrystallization (S6). Starting with 2°-3° of intragrain crystal-plastic deformation in both phosphates at the lowest shock stage, apatite undergoes up to 25° and merrillite up to 30° of crystal-plastic deformation at the highest stage of shock deformation (S5). Merrillite displays lower shock impedance than apatite; hence, it is more deformed at the same level of shock-loading. We suggest that the microtexture of apatite and merrillite visualized by EBSD can be used to evaluate stages of shock deformation and should be taken into account when interpreting in situ geochemically relevant analyses of the phosphates, e.g., age or volatile content, as it has been shown in other accessory minerals that differently shocked domains can yield significantly different ages.|http://dx.doi.org/10.1111/maps.13278
2014E&PSL.390..244B|2014|The origin of water in the primitive Moon as revealed by the lunar highlands samples|Barnes, Jessica J., Tartèse, Romain, Anand, Mahesh, McCubbin, Francis M., Franchi, Ian A., Starkey, Natalie A., Russell, Sara S.|Earth and Planetary Science Letters|390||244|The recent discoveries of hydrogen (H) bearing species on the lunar surface and in samples derived from the lunar interior have necessitated a paradigm shift in our understanding of the water inventory of the Moon, which was previously considered to be a ‘bone-dry’ planetary body. Most sample-based studies have focused on assessing the water contents of the younger mare basalts and pyroclastic glasses, which are partial-melting products of the lunar mantle. In contrast, little attention has been paid to the inventory and source(s) of water in the lunar highlands rocks which are some of the oldest and most pristine materials available for laboratory investigations, and that have the potential to reveal the original history of water in the Earth-Moon system. Here, we report in-situ measurements of hydroxyl (OH) content and H isotopic composition of the mineral apatite from four lunar highlands samples (two norites, a troctolite, and a granite clast) collected during the Apollo missions. Apart from troctolite in which the measured OH contents in apatite are close to our analytical detection limit and its H isotopic composition appears to be severely compromised by secondary processes, we have measured up to ∼2200 ppm OH in the granite clast with a weighted average δD of ∼ -105±130‰, and up to ∼3400 ppm OH in the two norites (77215 and 78235) with weighted average δD values of -281±49‰ and -27±98‰, respectively. The apatites in the granite clast and the norites are characterised by higher OH contents than have been reported so far for highlands samples, and have H isotopic compositions similar to those of terrestrial materials and some carbonaceous chondrites, providing one of the strongest pieces of evidence yet for a common origin for water in the Earth-Moon system. In addition, the presence of water, of terrestrial affinity, in some samples of the earliest-formed lunar crust suggests that either primordial terrestrial water survived the aftermath of the putative impact-origin of the Moon or water was added to the Earth-Moon system by a common source immediately after the accretion of the Moon.|http://dx.doi.org/10.1016/j.epsl.2014.01.015
2012LPI....43.1036Z|2012|SIMS Pb/Pb Ages of Baddeleyite and Zirconolite in Apollo 17 Norite 78235: Implications for Shock Histories of Extraterrestrial Rocks|Zhang, A. C., Taylor, L. A., Wang, R. C., Li, Q. L., Li, X. H., Patchen, A. D., Liu, Y.|Lunar and Planetary Science Conference||1659|1036|Our dating results on baddeleyite and zirconolite in the unbrecciated lunar rock Apollo 17 norite 78235 indicate that impact events in natural system could reset Pb/Pb ages of baddeleyite.|
1984LPI....15..625P|1984|The Evolution of the Lunar Magma Ocean: Evidence from Trace Elements in Plagioclase|Palme, H., Spettel, B., Wanke, H., Bischoff, A., Stoffler, D.|Lunar and Planetary Science Conference|||625|ABSTRACT_PLACEHOLDER|
1983LPSC...13..603J|1983|Subdivision of the Mg-Suite Noritic Rocks Into Mg-Gabbronorites and Mg-Norites|James, O. B., Flohr, M. K.|Lunar and Planetary Science Conference Proceedings|88||603|Mg-suite noritic rocks can be divided into two groups, the Mg-gabbronorites and the Mg-norites. The rocks of these groups differ in ratios of high-Ca pyroxene to total pyroxene, compositions of pyroxene and plagioclase, assemblages of Ti-, Nb-, and Zr-bearing minerals, compositions of chrome spinel, bulk-rock Ti/Sm and Sc/Sm, and measured ages. The two groups probably crystallized from different types of parent magmas. Two hypotheses are offered for the differences in composition of the parent magmas. One hypothesis ascribes the differences to compositional heterogeneity of the mantle source areas. The other hypothesis ascribes the differences to variations in extent of partial melting of the mantle source regions and variations in extent of assimilation of the anorthosite and the highly differentiated residual liquid that were produced during the primordial lunar differentiation.|http://dx.doi.org/10.1029/JB088iS02p0A603
1983LPI....14..473M|1983|Formation of Mg-Rich Pristine Rocks by Crustal Metasomatism|McCallum, I. S.|Lunar and Planetary Science Conference|||473|ABSTRACT_PLACEHOLDER|
1982LPSC...12..577K|1982|Compositional trends in Apollo 16 soils.|Korotev, R. L.|Lunar and Planetary Science Conference Proceedings|12||577|Data on the bulk chemical composition of the soils collected at and under the surface of the Apollo 16 landing site are synthesized and reviewed, with emphasis placed on the way in which the compositional trends within the soils relate to the site geology. Two distinct compositional mixing trends are discerned. One involves addition to this surface Cayley component of a material such as that ejected by North Ray Crater. The other is thought to be a segment of a mixing line between the average melt fraction of the local Cayley component and pure or nearly pure anorthosite. Grain size fractions of Apollo 16 soils exhibit a general trend of higher concentrations of large ion lithophile (LIL) elements associated with plagioclase in the finest fraction compared with the coarse fractions. The suite of pristine nonmare rocks (as currently recognized) is found to be insufficient to model the Apollo 16 soils.|
1982LPI....13..540M|1982|Comparison of Orthopyroxenes in Lunar Norites and Diogenites|Mori, H., Takeda, H., Miyamoto, M.|Lunar and Planetary Science Conference|||540|ABSTRACT_PLACEHOLDER|
1982LPI....13..360J|1982|Subdivision of the Mg-Suite Plutonic Rocks Into Mg-Norites and Mg-Gabbronorites|James, O. B.|Lunar and Planetary Science Conference|||360|ABSTRACT_PLACEHOLDER|
