2020NatAs...4..974W|2020|Evidence of extensive lunar crust formation in impact melt sheets 4,330 Myr ago|White, L. F., Černok, A., Darling, J. R., Whitehouse, M. J., Joy, K. H., Cayron, C., Dunlop, J., Tait, K. T., Anand, M.|Nature Astronomy|4||974|Accurately constraining the formation and evolution of the lunar magnesian suite is key to understanding the earliest periods of magmatic crustal building that followed accretion and primordial differentiation of the Moon. However, the origin and evolution of these unique rocks is highly debated. Here, we report on the microstructural characterization of a large (~250-μm) baddeleyite (monoclinic-ZrO<SUB>2</SUB>) grain in Apollo troctolite 76535 that preserves quantifiable crystallographic relationships indicative of reversion from a precursor cubic-ZrO<SUB>2</SUB> phase. This observation places important constraints on the formation temperature of the grain (&gt;2,300 °C), which endogenic processes alone fail to reconcile. We conclude that the troctolite crystallized directly from a large, differentiated impact melt sheet 4,328 ± 8 Myr ago. These results suggest that impact bombardment would have played a critical role in the evolution of the earliest planetary crusts.|http://dx.doi.org/10.1038/s41550-020-1092-5
2020GeCoA.290..312B|2020|The formation and evolution of the Moon's crust inferred from the Sm-Nd isotopic systematics of highlands rocks|Borg, Lars E., Cassata, William S., Wimpenny, Josh, Gaffney, Amy M., Shearer, Charles K.|Geochimica et Cosmochimica Acta|290||312|Ages determined for magnesian and ferroan anorthosite crustal rock suites overlap, suggesting they formed contemporaneously about 4.3-4.5 Ga. A notable exception is the Sm-Nd age previously determined on Mg-suite gabbronorite 67667 which is at least 100 Ma younger than the youngest ferroan anorthosite. New chronologic measurements of 67667 presented here yield concordant Sm-Nd and Rb-Sr mineral isochron ages of 4349 ± 31 Ma and 4368 ± 67 Ma, suggesting the sample is older than previous estimates. Furthermore, a whole rock Sm-Nd isochron of Mg-suite rocks from the Apollo 14, 15, 16, and 17 landing sites yields an age of 4348 ± 25 Ma, indicating that Mg-suite magmatism was widespread and roughly contemporaneous on the lunar nearside. Analysis of Sm-Nd internal isochron ages confirms that Mg-suite magmatism was restricted to a period between about 4.33 and 4.35 Ga at the Apollo 14, 15, 16, and 17 landing sites and was synchronous with magmatism at the Apollo 16 site associated with the ferroan anorthosite suite between 4.35 and 4.37 Ga. Magnesian- and ferroan anorthosite suite rocks with ages younger than ∼4.33 Ga appear to have experienced slow cooling in the deep lunar interior, so that the ages record when the samples cooled below the closure temperature of the Sm-Nd isotopic system and not the time they crystallized. <P />The ages determined for Mg-suite and ferroan anorthosite suite rocks are concordant with the age determined for the formation of urKREEP of 4350 ± 34 Ma using the Sm-Nd isotopic systematics of 67667 and measurements completed on norite 78238, troctolite 76535, KREEP basalt 15386, and gabbronorite NWA 773. Crystallization ages of Mg-suite and FAS are also concordant with the average of <SUP>146</SUP>Sm-<SUP>142</SUP>Nd ages previously determined for the formation of the mare basalt source region of 4333 ± 30 Ma. The similarity of ages for Mg-suite magmatism, ferroan anorthosite suite magmatism, urKREEP formation, and formation of the mare basalt source regions implies the processes that produced these rocks were petrogenetically linked. It also implies that both early-stage and late-stage lunar magma ocean cumulates formed over a relatively short duration of &lt;40 Ma. Late and somewhat rapid solidification of a lunar magma ocean can account for the concordance of ferroan anorthosite suite rocks, urKREEP, and the mare basalt source regions. However, the major and trace element compositions of Mg-suite magmas preclude them from being a primary differentiation product of the lunar magma ocean. Instead, the Mg-suite could be produced as a result of mixing of magma ocean solidification products during density driven overturn occurring immediately after, or perhaps during, solidification of the lunar magma ocean. This scenario not only accounts for the chronology of the various rock suites, but is consistent with the petrogenesis of the Mg-suite that involves the interaction between pre-existing Mg-rich, plagioclase-rich, and urKREEP-rich cumulates of the magma ocean.|http://dx.doi.org/10.1016/j.gca.2020.09.013
2020EGUGA..22.1169C|2020|Lunar Phosphates Record Impact Cratering Events at Micro to Nano Scales|Cernok, Ana, White, Lee, Tait, Kimberly, Anand, Mahesh, Kamo, Sandra, Whitehouse, Martin, Darling, James|EGU General Assembly Conference Abstracts|||1169|The field of planetary mineralogy has greatly benefited from recent studies of accessory minerals that utilise µm- and nm-scale analytical techniques such as EBSD, APT, TEM and SIMS. Apatite and merrillite have been of particular interest, as they record vital information on the volatile content, U-Pb ages and trace-element composition of various planetary materials. However, the extent to which shock-deformation, pervasive among all planetary materials, affects the distribution of these valuable geochemical tracers is still poorly understood. Here we focus on exploring the U-Pb and Pb-Pb ages of apatite and merrillite in a set of variably shocked lunar rocks, building on previous nanostructural analyses of the phosphates.We carried out U-Pb and Pb-Pb analyses of phosphates in Apollo 17 samples of the Mg-suite rocks (76535, 76335, 76255, 72255, 78235 and 78236) using the CAMECA 1280 ion microprobe at the NordSIMS facility (Stockholm). In addition, we applied a recently developed approach of conducting high-precision U-Pb and Pb-Pb analyses by ID-TIMS of extracted phosphate grains (Jack Satterly Lab, University of Toronto). For this purpose, individual ~50x50x30 µm crystals of apatite and merrillite were extracted directly from thin sections using a Xe+ plasma FIB.As determined by SIMS, 207Pb/206Pb systematics of the unshocked or weakly shocked apatite in 76535 and 76335 is undisturbed, implying cooling of the rock below the closure temperature of Pb diffusion in apatite (~450°C) at ~4.2 Ga, ~100 Ma younger than what is interpreted as the rock's crystallization age. Phosphates that experienced similar levels of deformation but were in proximity or in direct contact with the impact melt in samples 76255 and 72255 show almost complete age resetting (~3.92 Ga). The SIMS determined age of 16 phosphates in sample 76255 is 3922.2 ± 6.7 Ma (2σ) and agrees with the previously published 207Pb/206Pb phosphate ages of impact melt breccias found within the same boulder and was interpreted as the timing of the Imbrium impact. These recrystallized phosphates yield comparable TIMS Pb-Pb ages (3917.8 ± 1.8 Ma and 3921.0 ± 1.3 Ma, 2σ) with significantly lower internal uncertainties than that of the individual SIMS measurements and may represent multiple impact-events close to the Imbrium event.SIMS U-Pb analyses of highly shocked phosphates (78235 and 78236) reveal a discordia line with an upper intercept of ~4.2 Ga and a lower intercept of ~0.5 Ga. We interpret this new, younger age as a minor thermal event that reactivated existing shock-induced nm-scale grain boundaries, as visualised by APT, within the apatite population to allow for Pb-loss at ~0.5 Ga. We propose a small crater located near the Apollo 17 landing site as a possible source of this sample.By correlating micro- to nanostructural characterization with in-situ age systematics we show that apatite and merrillite are powerful thermochronometers that provide a new approach to dating which has the potential to discriminate between temporally similar events. This can greatly aid in unravelling the bombardment record of solar system and be helpful when dealing with samples of limited availability (e.g. space return missions).|
2020Icar..33813430G|2020|Troctolite 76535: A sample of the Moon's South Pole-Aitken basin?|Garrick-Bethell, Ian, Miljković, Katarina, Hiesinger, Harald, van der Bogert, Carolyn H., Laneuville, Matthieu, Shuster, David L., Korycansky, Donald G.|Icarus|338||113430|Lunar samples returned by the Apollo program have provided insights into numerous solar system processes. However, no samples were returned from the lunar farside, where one of the Moon's most geologically important features resides: the 2500-km-diameter South Pole-Aitken basin (SPA). Here, we explore the hypothesis that lunar troctolite 76535 was excavated by SPA. This hypothesis is motivated by the sample's low peak shock pressure (&lt;6 GPa), its substantial depth of origin (45-65 km), and its ancient <SUP>40</SUP>Ar/<SUP>39</SUP>Ar age of 4.25 Ga. We use hydrodynamic simulations of crater formation to show that for vertically incident impactors, SPA is the only known basin that can excavate material from the depth and shock pressure range relevant to 76535. The thermal history of 76535 also rules out excavation where a magma ocean was locally present. However, for the vertical impacts modeled, delivery of 76535 to the Apollo 17 site, where it was collected, requires a second impact event that preserved the sample's low shock state. An alternative interpretation of the SPA origin is that 76535 originates from the Serenitatis, Fecunditatis, or Australe basins, if the inferred origin depth of 76535 is in error by ~20 km, or its inferred peak shock pressure is in error by a factor of ~2. These basins could also be candidates for excavating 76535, if oblique impacts yield lower shock pressures of material excavated from the relevant depth. If troctolite 76535 is in fact a sample of SPA, we find that its 4.25 Ga excavation age and the density of large (100-300 km diameter) impact basins within and on the rim of SPA are consistent with the monotonically decaying Neukum (1983) chronology.|http://dx.doi.org/10.1016/j.icarus.2019.113430
2019AGUFM.V51F0114N|2019|Diffusion Chronometry on Lunar Troctolite 76535 to Resolve Magmatic Cooling History|Nelson, W. S., Hammer, J. E., Shea, T., Hellebrand, E., Taylor, G. J.|AGU Fall Meeting Abstracts|2019||V51F-0114|Any description of lunar evolution requires explanation of the chemically paradoxical magnesian suite (Mg-suite) of lunar highlands rocks, which is characterized by chemical characteristics consistent with extreme differentiation alongside primitive mineral compositions. A better understanding of the magmatic cooling history of these samples is an essential step toward evaluating existing petrogenetic models [1]. An ideal candidate for evaluating magmatic cooling history is the well-studied, highly pristine Apollo 17 troctolite 76535. Subtle compositional zoning in olivine and plagioclase crystals can be leveraged for geospeedometry, in which quantitative line scans alongside x-ray intensity maps are utilized to obtain diffusion timescales. These diffusion timescales are combined with constraints provided by radiometric data [2], in order to obtain possible thermal histories. We tested temperature-time profiles corresponding to continuous, differentiable, and monotonous functions. These functions are not actual cooling paths, but rather end-member cooling styles that provide constraints on overall cooling times. We find the early cooling of this sample was rapid, taking at most 9.7 million years to cool from 1293 to 850 ̊C, which is well within error of the current Sm-Nd age of this sample. Not only was the cooling rapid, but evidence of dissolution and regrowth of olivine suggests at least one excursion out of the olivine stability field. An initially rapid, possibly multi-stage magmatic cooling history for the Mg-suite would be consistent with impact melting or shallow emplacement of a small intrusion. <P />[1] Shearer C, Elardo S, Petro N, Borg L, McCubbin F, (2015), American Mineralogist, V100, PP204-32 <P />[2] Borg L, Connelly J, Cassata W, Gaffney A, Bizzarro M, (2016), Geochimica et Cosmochimica Acta, V 201, pp 377-391|
2019M&PS...54.1262C|2019|Shock-induced microtextures in lunar apatite and merrillite|Černok, Ana, White, Lee Francis, Darling, James, Dunlop, Joseph, Anand, Mahesh|Meteoritics and Planetary Science|54|6|1262|Apatite and merrillite are the most common phosphate minerals in a wide range of planetary materials and are key accessory phases for in situ age dating, as well as for determination of the volatile abundances and their isotopic composition. Although most lunar and meteoritic samples show at least some evidence of impact metamorphism, relatively little is known about how these two phosphates respond to shock-loading. In this work, we analyzed a set of well-studied lunar highlands samples (Apollo 17 Mg-suite rocks 76535, 76335, 72255, 78235, and 78236), in order of displaying increasing shock deformation stages from S1 to S6. We determined the stage of shock deformation of the rock based on existing plagioclase shock-pressure barometry using optical microscopy, Raman spectroscopy, and SEM-based panchromatic cathodoluminescence (CL) imaging of plagioclase. We then inspected the microtexture of apatite and merrillite through an integrated study of Raman spectroscopy, SEM-CL imaging, and electron backscatter diffraction (EBSD). EBSD analyses revealed that microtextures in apatite and merrillite become progressively more complex and deformed with increasing levels of shock-loading. An early shock-stage fragmentation at S1 and S2 is followed by subgrain formation from S2 onward, showing consistent decrease in subgrain size with increasing level of deformation (up to S5) and finally granularization of grains caused by recrystallization (S6). Starting with 2°-3° of intragrain crystal-plastic deformation in both phosphates at the lowest shock stage, apatite undergoes up to 25° and merrillite up to 30° of crystal-plastic deformation at the highest stage of shock deformation (S5). Merrillite displays lower shock impedance than apatite; hence, it is more deformed at the same level of shock-loading. We suggest that the microtexture of apatite and merrillite visualized by EBSD can be used to evaluate stages of shock deformation and should be taken into account when interpreting in situ geochemically relevant analyses of the phosphates, e.g., age or volatile content, as it has been shown in other accessory minerals that differently shocked domains can yield significantly different ages.|http://dx.doi.org/10.1111/maps.13278
2018LPI....49.2633G|2018|Age of the Lunar South Pole-Aitken Basin|Garrick-Bethell, I., Miljković, K.|Lunar and Planetary Science Conference||2083|2633|Based on iSALE hydrocode modeling, we demonstrate that the South Pole-Aitken Basin is the only viable basin that could have excavated Apollo sample 76535.|
2017GeCoA.201..377B|2017|Chronologic implications for slow cooling of troctolite 76535 and temporal relationships between the Mg-suite and the ferroan anorthosite suite|Borg, Lars E., Connelly, James N., Cassata, William S., Gaffney, Amy M., Bizzarro, Martin|Geochimica et Cosmochimica Acta|201||377|Ages have been obtained using the <SUP>87</SUP>Rb-<SUP>87</SUP>Sr, <SUP>147</SUP>Sm-<SUP>143</SUP>Nd, and <SUP>146</SUP>Sm-<SUP>142</SUP>Nd isotopic systems for one of the most slowly cooled lunar rocks, Apollo 17 Mg-suite troctolite 76535. The <SUP>147</SUP>Sm-<SUP>143</SUP>Nd, <SUP>146</SUP>Sm-<SUP>142</SUP>Nd, and Rb-Sr ages derived from plagioclase, olivine, and pyroxene mineral isochrons yield concordant ages of 4307 ± 11 Ma, 4299<SUP>+29</SUP>/<SUB>-35</SUB> Ma, and 4279 ± 52 Ma, respectively. These ages are slightly younger than the age determined on ferroan anorthosite suite (FAS) rock 60025 and are therefore consistent with the traditional magma ocean model of lunar differentiation in which the Mg-suite is intruded into the anorthositic crust. However, the Sm-Nd ages record when the rock passed below the closing temperature of the Sm-Nd system in this rock at ∼825 °C, whereas the Rb-Sr age likely records the closure temperature of ∼650 °C. A cooling rate of 3.9 °C/Ma is determined using the ages reported here and in the literature and calculated closure temperatures for the Ar-Ar, Pb-Pb, Rb-Sr, and Sm-Nd systems. This cooling rate is in good agreement with cooling rates estimated from petrographic observations. Slow cooling can lower apparent Sm-Nd crystallization ages by up to ∼80 Ma in the slowest cooled rocks like 76535, and likely accounts for some of the variation of ages reported for lunar crustal rocks. Nevertheless, slow cooling cannot account for the overlap in FAS and Mg-suite rock ages. Instead, this overlap appears to reflect the concordance of Mg-suite and FAS magmatism in the lunar crust as indicated by ages calculated for the solidus temperature of 76535 and 60025 of 4384 ± 24 Ma and 4383 ± 17, respectively. Not only are the solidus ages of 76535 and 60025 nearly concordant, but the Sm-Nd isotopic systematics suggest they are derived from reservoirs that were minimally differentiated prior to ∼4.38 Ga. Although the Sr isotopic composition of 60025 indicates its source was minimally differentiated, the Sr isotopic composition of 76535 indicates it underwent fractionation just prior to solidification of the 76535. These observations are consistent with both a magma ocean or a serial magmatism model of lunar differentiation. In either model, differentiation of lunar source regions must occur near the solidification age of thee samples. Perhaps the best estimate for the formation age of lunar source regions is the Rb-Sr model age of the 76535 source region age of 4401 ± 32 Ma. This is in good agreement with Sm-Nd model ages for the formation of ur-KREEP and suggests that differentiation of a least part of the Moon could not have occurred prior to ∼4.43 Ga.|http://dx.doi.org/10.1016/j.gca.2016.11.021
2015EGUGA..17.8498H|2015|Constraints on lunar dynamo mechanism for interpreting lunar-wide magnetic field|Hemant Singh, Kumar, Kuang, Weijia|EGU General Assembly Conference Abstracts|||8498|Moon, once considered an in-active celesitial body, surprisingly showed evidences of magnetized crust in satellite and returned samples from Apollo mission. Several mechanisms have been suggested in the past for the origin of the lunar magnetization, but the origin of the magnetization remains unknown. Among the suggested mechanisms is the paleo lunar dynamo, i.e. the crustal magnetization was acquired in an internal magnetic field generated by a dynamo once operated in the lunar core. A key for this to work is that the generated field strength should be sufficient to explain observations. The paleo field strengths from the past paleomagnetic measurements of returned samples show that they vary from different sample sites, ranging from 33.3 (±8.18) to 5430 (±1330) nT. Results from the satellite data are more than an order of magnitude weaker than those from the samples. The dynamo field strength could be significantly weaker. Simple envelope estimation of magnetic induction can lead to the necessary condition for a dynamo is magnetic Reynolds number ≥ 10, which is approximately two orders of magnitude smaller than that estimated for the Earth's core. Our estimation with a strong-field lunar dynamo suggests that the field strengths are between 155 and 700 nT, depending on the lunar core size. This estimation is consistent with more recent results from paleomagnetic analysis of Apollo sample (76535) which provides paleointensity of the Moon to be at least 300 to 1000 nT.|
2012AGUFMGP51B..03T|2012|The decline of the ancient lunar core dynamo|Tikoo, S. M., Weiss, B. P., Fuller, M., Gattacceca, J., Shuster, D. L., Grove, T. L.|AGU Fall Meeting Abstracts|2012||GP51B-03|Apollo-era paleomagnetic studies of lunar samples suggested that the Moon generated an ancient core dynamo. However, the temporal evolution of the magnetic field was unclear. One group proposed that the lunar dynamo ceased by 3.6 Ga, and that all paleointensity determinations from younger samples were indistinguishable from zero (Cisowski and Fuller, 1986). A second group proposed that the lunar dynamo persisted to at least 3.1 Ga, but surface field intensities declined to values 1-2 orders of magnitude lower than those during the period of 3.9-3.65 Ga (Runcorn, 1996). Recent re-analysis of samples 76535, 10020, and 10017 confirm that a lunar core dynamo generated a long-lived, stable magnetic field from 4.2 Ga to at least 3.6 Ga, with ~ 70 μT fields at 3.6-3.7 Ga (Garrick-Bethell et al., 2009; Shea et al., 2012; Suavet et al., 2012). Determining when the dynamo ultimately decayed is difficult because retrieving high-fidelity paleointensities for weak fields is difficult for the vast majority of lunar samples due to their poor magnetic recording properties (Tikoo et al., 2012). Thus far, no lunar samples with ages &lt; 3.6 Ga have been reported which unambiguously record a thermoremanence (TRM) acquired while cooling in the presence of a core dynamo-generated field. We investigated the state of the lunar dynamo after 3.6 Ga by studying the natural remanent magnetization of high magnetic fidelity mare basalts 15597 (~ 3.3 Ga) and 12022 (~ 3.2 Ga). Our alternating field and thermal demagnetization as well as rock magnetic data indicate that, by 3.2 Ga, any surface fields on the Moon were too weak (&lt; 7 μT) to be retrieved by our methods. Because our upper limit of 7 μT is consistent with predictions of dynamo scaling laws, it is possible that the lunar dynamo was still active at 3.2 Ga (Dwyer et al., 2011; LeBars et al., 2011). Nevertheless. such weak fields contrast strongly with the 60-70 μT paleointensities inferred for the Moon just 300-400 million years earlier. Furthermore, although Apollo-era paleointensity compilations have identified lunar paleofields ranging from 0.1-10 μT at 3.3 Ga to &lt;200 Ma, we have recently shown that many or all of these values are likely only upper limits (Tikoo et al. 2012).|
